Conductor Name / Stranding Type,1s Fault Rating (kA),Rdc,Alpha[20],A[c],C[20],Diameter,Area,Mass,Skin,Magnetic,T[max],Eqv Al,Density,Limited,User Specified SD
AAC Gemini 7/1.75,1.57,1.71,0.00403,0.00045,0.895,5.25,16.8,46.1,1.005,1,160,17,0.002738022,112,97
Jupiter,2.61,1.03,0.00403,0.00045,0.895,6.75,27.8,76.2,1.005,1,160,28,0.002737802,157,134
Leo,3.22,0.833,0.00403,0.00045,0.895,7.5,34.4,94.3,1.005,1,160,34,0.002741279,181,153
Leonids,3.88,0.689,0.00403,0.00045,0.895,8.25,41.6,113,1.005,1,160,41,0.002716346,205,173
Libra,4.63,0.579,0.00403,0.00045,0.895,9,49.5,135,1.005,1,160,49,0.002727273,230,194
Mars,7.24,0.37,0.00403,0.00045,0.895,11.3,77.3,211,1.005,1,160,76,0.002729625,310,259
Mercury,10.4,0.258,0.00403,0.00045,0.895,13.5,111,304,1.005,1,160,110,0.002738739,396,330
Moon,11.58,0.232,0.00403,0.00045,0.895,14.3,124,339,1.005,1,160,122,0.002733871,427,355
Neptune,14.74,0.183,0.00403,0.00045,0.895,16.3,158,433,1.005,1,160,155,0.002740506,507,421
Orion,17.15,0.157,0.00403,0.00045,0.895,17.5,183,503,1.005,1,160,179.6,0.002748634,564,466
Pluto,19.71,0.137,0.00403,0.00045,0.897,18.8,209.8,578,1.015,1,160,206,0.002755005,618,511
Saturn,24.56,0.11,0.00403,0.00045,0.897,21,261.5,721,1.015,1,160,256,0.00275717,721,594
Sirus,28.73,0.094,0.00403,0.00045,0.895,22.8,307,845,1.012,1,160,300.9,0.002752443,808,664
Taurus,31.48,0.086,0.00403,0.00045,0.897,23.8,336.7,926,1.015,1,160,331,0.002750223,860,706
Triton,38.27,0.071,0.00403,0.00045,0.897,26.3,408.7,1130,1.015,1,160,400,0.002764864,986,808
Uranus,47.55,0.057,0.00403,0.00045,0.897,29.3,506,1400,1.015,1,160,493,0.002766798,1145,935
Ursula,55.1,0.049,0.00403,0.00045,0.895,31.5,587,1620,1.025,1,160,574.2,0.002759796,1264,1030
Venus,63.1,0.043,0.00403,0.00045,0.897,33.8,673.7,1860,1.015,1,160,659,0.002760873,1401,1140
Virgo,135.85,0.02,0.00403,0.00045,0.897,49.5,1447,4010,1.015,1,160,1410,0.002771251,2399,1929
Moth,1.04,2.575,0.00403,0.00045,0.895,4.27,11.1,30.4,1.005,1,160,11,0.002734554,86,74
Locust,2.88,0.933,0.00403,0.00045,0.895,7.09,30.7,84,1.005,1,160,30.3,0.002738619,168,142
Mosquito,3.46,0.776,0.00403,0.00045,0.8967,7.77,36.9,101.1,1.005,1,160,36.4,0.002739229,189,160
Ladybird,4.01,0.669,0.00403,0.00045,0.895,8.38,42.9,116.9,1.005,1,160,42.5,0.002724138,209,177
Fly,5.88,0.451,0.00403,0.00045,0.895,10.21,63.7,170,1.005,1,160,63,0.00266876,271,228
Earwig,7.27,0.365,0.00403,0.00045,0.895,11.35,78.7,210,1.005,1,160,77.9,0.002668361,312,261
Wasp,9.99,0.269,0.00403,0.00045,0.895,13.2,106.2,292.3,1.005,1,160,105,0.002752354,384,320
Hornet,14.76,0.183,0.00403,0.00045,0.895,16.26,157.6,434.1,1.005,1,160,154.9,0.002754442,507,420
Chafer,19.99,0.135,0.00403,0.00045,0.895,18.92,213.2,587.6,1.005,1,160,209.9,0.002756098,627,518
Cockroach,24.95,0.108,0.00403,0.00045,0.895,21.08,265.3,732.2,1.005,1,160,260.5,0.002759894,733,603
Butterfly,30.25,0.0893,0.00403,0.00045,0.895,23.24,322.4,889.8,1.005,1,160,316.5,0.002759926,838,689
Bug,1.36,1.966,0.00403,0.00045,0.895,4.88,14.5,39.7,1.005,1,160,14.4,0.002737931,103,88
